,ID,PriceRule_ID,DiscountCode_ID,Refer_Code,Usage Count,Usage Limit,Update at,Create at
0,8033658241351,1686075834695,25908674625863,REFE3512997FV,0,10,12/07/2024,12/07/2024
1,8033657291079,1686075867463,25908674658631,REFE792999CH,0,10,12/07/2024,12/07/2024
